"bill","committee","session","url","filename","date"
"","Public Hearing before MILITARY AND VETRANS' AFFAIRS COMMITTEE MILITARY AND VETRANS' AFFAIRS COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/amv052107_appendix.pdf","amv052107_appendix.pdf","May 21, 2007"
"","Public Hearing before ASSEMBLY OUTSOURCING AND OFF-SHORING COMMSSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AOOC091407.pdf","AOOC091407.pdf","September 14, 2007"
"","Public Hearing before ASSEMBLY OUTSOURCING AND OFF-SHORING COMMSSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aooc091407_appendix.pdf","aooc091407_appendix.pdf","September 14, 2007"
"","Public Hearing before ASSEMBLY OUTSOURCING AND OFF-SHORING COMMSSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AOOC111607.pdf","AOOC111607.pdf","November 16, 2007"
"","Public Hearing before ASSEMBLY OUTSOURCING AND OFF-SHORING COMMSSION","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aooc111607_appendix.pdf","aooc111607_appendix.pdf","November 16, 2007"
"","Committee meeting of ASSEMBLY REGULATORY OVERSIGHT COMMITTEE ASSEMBLY REGULATORY OVERSIGHT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aro012207.pdf","aro012207.pdf","January 22, 2007"
"","Committee meeting of ASSEMBLY REGULATORY OVERSIGHT COMMITTEE ASSEMBLY REGULATORY OVERSIGHT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aro051407.pdf","aro051407.pdf","May 14, 2007"
"","Committee meeting of ASSEMBLY REGULATORY OVERSIGHT COMMITTEE ASSEMBLY REGULATORY OVERSIGHT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aro051407_appendix.pdf","aro051407_appendix.pdf","May 14, 2007"
"","Committee meeting of ASSEMBLY REGULATORY OVERSIGHT COMMITTEE ASSEMBLY REGULATORY OVERSIGHT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aro052107.pdf","aro052107.pdf","May 21, 2007"
"","Committee meeting of ASSEMBLY REGULATORY OVERSIGHT COMMITTEE ASSEMBLY REGULATORY OVERSIGHT COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aro052107_appendix.pdf","aro052107_appendix.pdf","May 21, 2007"
